CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50103,בית הקרמיקה יבנה,117,ת.ד 479,NULL,העמל 3,NULL,יבנה
50689,מ.דוכי עכו בעמ,130,ת.ד 2527,NULL,משמר הים 1 א.תעשייה דרום-עכו,גיול,עכו
50277,מפעלי אחים עאמר מרצפות ושיש בעמ,130,ת.ד 192,24914,אזור תעשיה,עאמר ת.משלוח,פקיעין
50144,הום  סנטר דיזינגוף,114,טוליפמן 7,NULL,דיזינגוף 50,NULL,ראשון לציון
50247,כלבו לבנין בעמ מאיר המהיר בעמ,103,קיבוץ גליות 31,NULL,קיבוץ גלויות 31,NULL,תל אביב
50319,קרמיק סיטי שיווק בעמ,103,ת.ד 136,90380,הברוש 2 בית נקופה,NULL,מושב בית נקופה
50555,א.ש.ס שיווק אינסטלציה בעמ,109,מושב מבקיעים,NULL,מושב מבקיעים,איש קשר,מושב מבקיעים
50209,אליצור טופולסקי בעמ,109,הפרסה 2 א.ת תלפיות,9342262,עצמונה 2 א.ת מישור אדומים,מייל הזמנות,ירושלים
50283,מרכז הקרמיקה פולינוי בעמ (חנות ),109,הרצל 118,NULL,שד' הרצל 118,"פולינוי תמ""ש יומיות",רמלה
50583,חבוש בעמ - סניף כפר יונה,103,א.ת קדימה/צורן,60920,הרצל 9,NULL,NULL
50361,קמחי קרמיקה בעמ,109,ת.ד 2094,84872,עמק שרה,NULL,באר שבע
50147,הום  סנטר חיפה מפרץ,114,טוליפמן 7,26115,האצטדיון 1,NULL,ראשון לציון
50638,מולטי ריטייל גרופ בעמ - חיפה צ'ק פוסט סניף 028,123,גליס 9 צומת סגולה,NULL,מתחם פרופיט המרכבה פינת הקישור  א.ת,מחסן,פתח תקווה
50366,קרמיק דיפו (בש ),113,ת.ד 2195,84874,באר שבע,"תמ""ש",באר שבע
50528,נגב קרמיקה נצרת,113,NULL,NULL,כביש עוקף נצרת,NULL,NULL
50152,הום  סנטר כרמל,114,טוליפמן 7,NULL,חיפה כרמל אתר שער הכרמל,NULL,ראשון לציון
50614,טופז קרמיקה -חולון,110,עקיבא 31,NULL,עקיבא 31,NULL,חולון
50660,חזיבנק - טופולסקי פרויקטים מסחריים בעמ,123,סמ' התבור 2,NULL,סמ' התבור 2,NULL,פתח תקווה
50623,רוברט זיתונה (חיוב מתקין),128,ת.ד 22706,NULL,שמחה הולצברג 1,NULL,"ת""א"
50069,מולטי ריטייל גרופ בעמ - שילת סניף 31,123,גליס 9 צומת סגולה,NULL,-,מייל בירור הזמנות,פתח תקווה
50143,הום  סנטר געש,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50303,סגל קרמיק,103,-,22809,מושב בן עמי 33,NULL,מושב בן עמי 33
50717,כדורי אלון,103,מרטין בובר 7,NULL,מרטין בובר 7,NULL,פתח תקווה
50193,זיסו ובניו,109,השחרור 5,3901712,השחרור 5,NULL,טירת כרמל
50382,קרמיקה חלמיש,103,"""ר""""ח לח""""י 31 א.ת""",51200,בני ברק,מייל תעודות משלוח,בני ברק
50388,קרמיקה שרוני בעמ,103,התערוכה 3,NULL,שדלובסקי 7,NULL,תל אביב
50420,שרה קרמיקה יבוא והפצה,117,חלוצי התעשיה 17 א.ת,NULL,חלוצי התעשיה 17 א.ת,NULL,ק. מלאכי
50424,תצוגת הבית החדש בעמ,109,ת.ד 110,16955,כפר יפיע,מייל גיול,כפר יפיע
50576,קרמיקה ביג,109,ת.ד 1150,20190,נחף,בעלים,מגדאל קרום
50206,חסון פ.ע מסחר 1997 בעמ,109,קהילת ציון 19 -אזור תעשיה,1830119,קהילת ציון 19 -אזור תעשיה,קסלסי,עפולה
50269,מור תקרות אקוסטיות ומחיצות גבס,109,ת.ד 2201,NULL,המלאכה בניין סולל בונה א.ת,מייל גיול,רעננה
50523,נגב קרמיקה רמת גן,113,NULL,NULL,הלחי 28,NULL,NULL
50600,מנהטן עיצובים ומעצבים בעמ,117,הרואה 7,NULL,הרואה 7,איש קשר,רמת גן
50522,סופר קרמיק חיפה,120,NULL,NULL,מרקוני 20,NULL,NULL
50255,מ.ש קרמיקה בעמ,109,דוד אלעזר 107,NULL,דוד אלעזר 107,גיול,אור יהודה
50624,קרמיקה סנטר,109,ת.ד 4113,NULL,א.ת ירכא,NULL,ירכא
50104,בית מסחר האואר חומרי בנין,109,דבורה 3,2636311,דבורה 3,גיול,קרית מוצקין
50699,לקוחות מזדמנים רוג'ר,130,ת.ד 282,NULL,לב הארץ,הזמנה לא תקינה,ראש העין
70008,שלומי גבאי,107,רבקה גובר 7,NULL,NULL,NULL,פתח תקוה
50637,הום  סנטר שפיים,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50073,מולטי ריטייל גרופ בעמ - שפיים סניף 63,123,גליס 9 צומת סגולה,NULL,קבוץ שפיים,מחסן,פתח תקווה
50411,שיפוצי אנדרי,103,אייזיק חריף 30,NULL,אייזיק חריף 30,NULL,יפו
70032,עודד אליהו,107,חיל אויר 25 דירה 8 קומה 2,NULL,NULL,NULL,ירושלים
50258,מאיר ברבי,109,עמק זבולון 24,NULL,עמק זבולון 24,קליטת הזמנות,מודיעין
50315,סמרה השקעות בינלאומיות  בעמ,110,ת.ד 12666,46733,-,NULL,הרצליה
50233,י.ד דקל קרמיקה בעמ,103,קיבוץ גבעת ברנר,60948,קיבוץ גבעת ברנר,NULL,צומת בילו
50463,יהלום הבית פור יו,123,אבנר 3,NULL,אבנר 3,גיול,חולון
50563,אלעורי חברה למסחר והשקעה בעמ,109,NULL,NULL,ת.ד. 21448,NULL,NULL
50088,אמין קסם,109,ת.ד 4223,4491500,-,NULL,טירה
50707,קרמיק דיפו (כפר עציון),113,NULL,NULL,-,סטטוס הזמנות,NULL
50212,טופליין-יבוא ושווק בעמ,109,אלכסנדר ינאי 2,4927702,"האירוס  פינת הרקפת אזור תעש""ה נחשונים",מייל גיול,סגולה פתח תקווה
50189,ו.ש.א מסחר בעמ,109,ת.ד 1,4060050,השיזף 3,תעודת משלוח,תל מונד
