CardCode,CardName,GroupCode,Address,CntctPrsn
80176,"גלרי נובו -גל בע""מ",101,ת.ד 125,NULL
80331,"Hangzhou Showersun Bathroom Ware Co.,Ltd",105,Tongyi Village Hezhuang Town,Hester
80380,MARCO MAMMOLITI SPA,105,corso lancieri 27,Donatella
80074,(TREND) CHAOZHOU,105,FENGXI,NULL
80689,Hangzhou Tita Industry Co L.T.D,105,-,פקידת יצוא
80252,"קונספט מטבחים בע""מ",101,ת.ד 1229,באסם
80605,"HK PALICI SANITARY WARES CO., LIMITE",105,NULL,NULL
80493,Zhejiang Jianlong kitchen & Bath co LTD,105,Qinggang High Sci-tech,Sales
80492,"יעד פירזול 1984 בע""מ",101,קיבוץ גלויות 27,NULL
80332,GOALAR sanitary ware co.ltd-$,105,Guxiang Industry Zone,ANNY
80003,CHAOZHU MONGA,105,NULL,BERYL
80330,Chaozhou Jasper Ceramic -Risheng -$,105,zhanhong road chaozhou rail way station area chaozhou guandong 521031,DOREEN
80444,Edea Jlip Group co L.T.D,105,NULL,NULL
80888,"קונספט עיצב האמבט והמטבח בע""מ",101,ת.ד 1229,באסם
80442,Wenzhou Wo Lun Kitchen and Bath sanitary wares Co. Ltd..,105,NULL,Zhejiang Volong Sanitary Wares
80232,TANGSHAN CERAMIC i&e co.ltd,105,NO.30 XIYAO road tangshan,Mr.Yimin Chen
80387,"מ.מ.מ אור גלאס בע""מ",101,-,מג'די
80665,"ליאוני פלוס בע""מ",101,-,NULL
80446,Caizhou Kaiping Pasgo Plumbing Products Co,105,NULL,NULL
80362,Yidu Ouya Ceramics Co.Ltd,105,"RM 707,Vctoria Plaza NO.23 Hongmen Rd",NULL
80463,Zhejiang ganghong decoration technology co LTD,105,-,Wendy
80430,Kaiping Himark Sanitary Ware Co. Ltd,105,NULL,NULL
80445,Hangzhou Boray Import And Export Co L.T.D,105,NULL,NULL
80780,New Life Furniture,101,-,משרד
